salsabilamaulaa,mau beli bittersweet
aracrafts_ind,"alhmdulillah... tapi pengen sih biar pernah holiday bareng sm anak dan suami. suami lg cari kerja dijawa, anak udh set tahun gak ketemu .. bikin kita pernah holiday breng doongg 😍😍😍.. aamiin"
trisucimandasari,"belum pernah nyobain naik pesawat, dan belum pernah punya mesin printer kyocera udah dari dulu kepingin @ikoy2an  @ecamaresha ha."
megadianaaa,mau di isiin shopee pay buat belanja perlengkapan baby ❤️
adejuniardy,pengen top up shopepay yg banyak buat bisnis pulsa di kampung wkwkwk
ambar_0812,blm pernah ganti ban motor tubles biar awet
tasyyyyafa,ngasih sesuatu yg special ke umii
alfinsyah.rizky,hanya ingin minta doa untuk kesembuhan bapak saya yg menderita stroke ringam semoga cepat sembuh
anwar_khafid,"@ikoy2an @ecamaresha duh kok belum pernah punya dan rasain sepatu merk nike ori,tiap mau beli pasti kepikiran kebutuhan lain.fix no debat sepatu nike ini selalu kepikiran rasain nyamanya pakai"
indocalita,"belum pernah punya laptop sendiri. dulu pakai punya kantor, sekarang minjem punya kakak. padahal lumayan butuh juga buat support usaha, termasuk pembukuan, stockist dll"
riiskaikokk,sebenarnya aku belum pernah nyobain menang give away :d
aulyarivani,mau kulkas kak haha
elandaa_f,pengen beliin bapak sepeda lipat min biar g pake sepeda lama udh butut :)
dewantodadhut_,belum pernah beli ban baru merek bridgestone. selalu beli ban second
aldifrizy15,"minn ikoy2an ready lagi dong nungguin dari kemaren ga dapet dapet, semoga hari ini rezeki biar dapet"
em_tazim,blm pernah yobain happy dapet hadiah dari ikoy2an...
garninisss070901,belum pernah punya laptop :')
vianoveyraa,pengen punya smart tv biar orangnya makin smart 😍
erwinaprilyandi,pengen happy sama anak istri tanpa mikirin isi dompet😂
robymachfudin,sepatu bola yg top grade min
yumitha_elvz,"bismillah, story terakhirnya ikoy2an belum selesai kan min😍 sebenarnya ini bukan hal yang belum saya punya atau coba tapi sangat ingin saya lakukan saat ini adalah berbagi ke orang-orang di sekitar saya, nah targetnya sih anak-anak deket rumah saya, soalnya depan rumah kalau sore hari rame banget anak-anak pada main, kayaknya kalau saya beli jajan atau cemilan atau kfc gitu trus dibagiin ke mereka pasti bakal seru banget sih😍🙌"
chairunisal,masi ga si? hahaha bm jco🍻
meilindaaaaa.sr,"bang kenapa gue ga sehoki itu ya, pengin rasain gitu menang ikoy. gue  pengin uangnya buat ngsh ortu sama buat gue modal usaha. fresh graduate susah dpt kerja  bang  lagi usaha hijab mau restock bnyk tp ga punya modal bnyak. semoga ikoy pilih gue ya jdi pacarnya, eh salah wkwkw mksdnya kepilih dpt ikoy😢😢"
17.lika,bittersweet by najla wkwkwk
_alfirtxyyy,"bismillah semoga dapat 6,5 jt kepengen punya motor astrea bang😂"
efllionte,"lagi pengen ngebantu saudara kena tbc min di rumah sakit sekarang. semoga yang ngebaca ini, bisa bantu doa nya supaya cepat di angkat penyakit nya. aamiin🔥😢"
kurtcobii,"mungkin belum rezeki ya,padahal dapet 1 jt aja alhamdulillah banget bisa buat nambahin modal usahaku tetap semangat juga ya yang belum dapet dan gapernah unfoll sponsor ikoy ikoyannya 😂"
wahyubejok029,laptop kk
ayuuprdt,kinder joy
uzumakingkong,pengen cobain beliin mama hape baru supaya bisa vidcall lancar karena udah 2 tahun gabisa balik ke indo bang hahaha
dparum,pengen beli skin care biar muka kinclong 💆‍♀️
anyadewi1512,"belom pernah dapet ikoy2an, 😢😢 pengen ganti ban motor dan perpanjang sim dan stnk😢 sudah mati dari 2th lalu😢😢😢 @ikoy2an @ecamaresha"
pangilaku_zayn,min aku mau jajan ke alfamidi😢 mau borong udah lama semenjak resign kerja gak pernah jajan banyak maklum sayang uang y buat popok anak
veryardi7,belum pernah didm admin suruh kirim no rek😅
isma_391,belum perna pakai ipon hahaha
ss.san__,"belom pernahh pegang macbook , kayaaaa nyaaa pingsann dehh kalo pegang barang mahal :("
fadhlidzil11,mudah mudahan rezeki mau buat benerin motor abis kena musibah kena pecahan ban mobil dumtruck pas mau nyalip tau tau mobil nya pecah pas pas banget kena body motor🥺
fitriaa_rahmaaa,"belum pernah nyobain checkout shopee tanpa mikir harga, krn pernah cocok tapi gag sesuai kantong.ngrem dulu nabung dulu"
sfiryo,belum nyoba ip xr :(
50_lihien,no coment
durroist_,belum pernah beli album @secretnumber.official yang limited edition
nyoctav,belum pernah punya iphone. pengem cobain pu ya hp iphone ka🙌😂
zain_afkarmalik,"pengen beliin ayah ku bal sepatu seken aja deh, pasti bkin ayah happy bget 😍"
iwanali89,pengen beliin laptop buat sekolah daring adik iparku
dievergessenen13,"hp udah drop skali lepas charger lgs restart ,mau kerja pke hp mana bisa d ajak jln lama, mau jln cari cwe aja ribet hahaha"
indrazanoo,belum pernah nyobain super car apalagi punya 🥲🥲
alifyarhman,"aku belom pernah punya laptop yang ngebut specnya. punya tapi udah mulai lemot, mau beli laptop baru apalah saya guru honor gaji 500-600rb sebulan. mudah2an dinotice mimin @ikoy2an sama kak @ecamaresha biar kalau ngeinput nilai ga suka ngehang laptopnya apa lagi masih suka ngasih materi via daring juga"
saibahrizq,"pengen punya kendaraan, pengen pergi kerja tanpa worry karena harus gantian sama adek wkwk"
